Loading sequences.
Calculating pairwise hamming.
0 / 703 > 5775 | aardvark | armadillo
630 / 703 > 4303 | pig | randgen2
631 / 703 > 4319 | pig | randgen3
632 / 703 > 4783 | pig | rat
633 / 703 > 5752 | pig | sheep
634 / 703 > 6318 | pig | squirrel
635 / 703 > 5411 | pig | wallaroo
636 / 703 > 7005 | pig | whiteRhinoceros
637 / 703 > 5247 | pigmyChimpanzee | platypus
638 / 703 > 5879 | pigmyChimpanzee | rabbit
639 / 703 > 4327 | pigmyChimpanzee | randgen0
640 / 703 > 4249 | pigmyChimpanzee | randgen1
641 / 703 > 4277 | pigmyChimpanzee | randgen2
642 / 703 > 4286 | pigmyChimpanzee | randgen3
643 / 703 > 5338 | pigmyChimpanzee | rat
644 / 703 > 5405 | pigmyChimpanzee | sheep
645 / 703 > 5793 | pigmyChimpanzee | squirrel
646 / 703 > 5815 | pigmyChimpanzee | wallaroo
647 / 703 > 6180 | pigmyChimpanzee | whiteRhinoceros
648 / 703 > 4806 | platypus | rabbit
649 / 703 > 4329 | platypus | randgen0
650 / 703 > 4396 | platypus | randgen1
651 / 703 > 4343 | platypus | randgen2
652 / 703 > 4386 | platypus | randgen3
653 / 703 > 4695 | platypus | rat
654 / 703 > 4770 | platypus | sheep
655 / 703 > 4705 | platypus | squirrel
656 / 703 > 5484 | platypus | wallaroo
657 / 703 > 4808 | platypus | whiteRhinoceros
658 / 703 > 4389 | rabbit | randgen0
659 / 703 > 4364 | rabbit | randgen1
660 / 703 > 4369 | rabbit | randgen2
661 / 703 > 4356 | rabbit | randgen3
662 / 703 > 4652 | rabbit | rat
663 / 703 > 4849 | rabbit | sheep
664 / 703 > 4720 | rabbit | squirrel
665 / 703 > 5563 | rabbit | wallaroo
666 / 703 > 5484 | rabbit | whiteRhinoceros
667 / 703 > 0 | randgen0 | randgen1
668 / 703 > 0 | randgen0 | randgen2
669 / 703 > 0 | randgen0 | randgen3
670 / 703 > 4200 | randgen0 | rat
671 / 703 > 4302 | randgen0 | sheep
672 / 703 > 4307 | randgen0 | squirrel
673 / 703 > 4361 | randgen0 | wallaroo
674 / 703 > 4391 | randgen0 | whiteRhinoceros
675 / 703 > 0 | randgen1 | randgen2
676 / 703 > 0 | randgen1 | randgen3
677 / 703 > 4178 | randgen1 | rat
678 / 703 > 4290 | randgen1 | sheep
679 / 703 > 4195 | randgen1 | squirrel
680 / 703 > 4356 | randgen1 | wallaroo
681 / 703 > 4321 | randgen1 | whiteRhinoceros
682 / 703 > 0 | randgen2 | randgen3
683 / 703 > 4230 | randgen2 | rat
684 / 703 > 4313 | randgen2 | sheep
685 / 703 > 4277 | randgen2 | squirrel
686 / 703 > 4356 | randgen2 | wallaroo
687 / 703 > 4344 | randgen2 | whiteRhinoceros
688 / 703 > 4183 | randgen3 | rat
689 / 703 > 4295 | randgen3 | sheep
690 / 703 > 4287 | randgen3 | squirrel
691 / 703 > 4341 | randgen3 | wallaroo
692 / 703 > 4335 | randgen3 | whiteRhinoceros
693 / 703 > 5674 | rat | sheep
694 / 703 > 5902 | rat | squirrel
695 / 703 > 5351 | rat | wallaroo
696 / 703 > 5498 | rat | whiteRhinoceros
697 / 703 > 5891 | sheep | squirrel
698 / 703 > 5946 | sheep | wallaroo
699 / 703 > 6948 | sheep | whiteRhinoceros
700 / 703 > 5471 | squirrel | wallaroo
701 / 703 > 5888 | squirrel | whiteRhinoceros
702 / 703 > 5246 | wallaroo | whiteRhinoceros
Building clusters.
Results:
cluster 0: randgen3, harborSeal, cat, graySeal, randgen0
cluster 1: human, blueWhale, finWhale
cluster 2: pigmyChimpanzee, baboon, orangutan, gibbon, chimpanzee, gorilla
cluster 3: armadillo, indianRhinoceros
cluster 4: wallaroo, horse, donkey, dog
cluster 5: fatDormouse, hippopotamus
cluster 6: randgen2, randgen1, opossum, platypus
cluster 7: mouse, sheep, whiteRhinoceros, rabbit, elephant, guineaPig, rat, cow, squirrel, pig, fruitBat, aardvark
