Loading sequences.
Calculating pairwise hamming.
0 / 703 > 11041 | aardvark | armadillo
630 / 703 > 12377 | pig | randgen2
631 / 703 > 12361 | pig | randgen3
632 / 703 > 10157 | pig | rat
633 / 703 > 9494 | pig | sheep
634 / 703 > 9539 | pig | squirrel
635 / 703 > 11269 | pig | wallaroo
636 / 703 > 9675 | pig | whiteRhinoceros
637 / 703 > 11307 | pigmyChimpanzee | platypus
638 / 703 > 10675 | pigmyChimpanzee | rabbit
639 / 703 > 12227 | pigmyChimpanzee | randgen0
640 / 703 > 12305 | pigmyChimpanzee | randgen1
641 / 703 > 12277 | pigmyChimpanzee | randgen2
642 / 703 > 12268 | pigmyChimpanzee | randgen3
643 / 703 > 10316 | pigmyChimpanzee | rat
644 / 703 > 11149 | pigmyChimpanzee | sheep
645 / 703 > 11175 | pigmyChimpanzee | squirrel
646 / 703 > 10739 | pigmyChimpanzee | wallaroo
647 / 703 > 10374 | pigmyChimpanzee | whiteRhinoceros
648 / 703 > 12213 | platypus | rabbit
649 / 703 > 12684 | platypus | randgen0
650 / 703 > 12607 | platypus | randgen1
651 / 703 > 12649 | platypus | randgen2
652 / 703 > 12641 | platypus | randgen3
653 / 703 > 10775 | platypus | rat
654 / 703 > 10441 | platypus | sheep
655 / 703 > 10350 | platypus | squirrel
656 / 703 > 11412 | platypus | wallaroo
657 / 703 > 11269 | platypus | whiteRhinoceros
658 / 703 > 12562 | rabbit | randgen0
659 / 703 > 12611 | rabbit | randgen1
660 / 703 > 12591 | rabbit | randgen2
661 / 703 > 12617 | rabbit | randgen3
662 / 703 > 9744 | rabbit | rat
663 / 703 > 10134 | rabbit | sheep
664 / 703 > 10107 | rabbit | squirrel
665 / 703 > 11808 | rabbit | wallaroo
666 / 703 > 10295 | rabbit | whiteRhinoceros
667 / 703 > 12786 | randgen0 | randgen1
668 / 703 > 12704 | randgen0 | randgen2
669 / 703 > 12798 | randgen0 | randgen3
670 / 703 > 12045 | randgen0 | rat
671 / 703 > 12324 | randgen0 | sheep
672 / 703 > 12167 | randgen0 | squirrel
673 / 703 > 12516 | randgen0 | wallaroo
674 / 703 > 12484 | randgen0 | whiteRhinoceros
675 / 703 > 12724 | randgen1 | randgen2
676 / 703 > 12740 | randgen1 | randgen3
677 / 703 > 12061 | randgen1 | rat
678 / 703 > 12271 | randgen1 | sheep
679 / 703 > 12222 | randgen1 | squirrel
680 / 703 > 12494 | randgen1 | wallaroo
681 / 703 > 12482 | randgen1 | whiteRhinoceros
682 / 703 > 12714 | randgen2 | randgen3
683 / 703 > 12077 | randgen2 | rat
684 / 703 > 12291 | randgen2 | sheep
685 / 703 > 12175 | randgen2 | squirrel
686 / 703 > 12514 | randgen2 | wallaroo
687 / 703 > 12441 | randgen2 | whiteRhinoceros
688 / 703 > 12055 | randgen3 | rat
689 / 703 > 12293 | randgen3 | sheep
690 / 703 > 12203 | randgen3 | squirrel
691 / 703 > 12548 | randgen3 | wallaroo
692 / 703 > 12493 | randgen3 | whiteRhinoceros
693 / 703 > 10626 | rat | sheep
694 / 703 > 10398 | rat | squirrel
695 / 703 > 10949 | rat | wallaroo
696 / 703 > 10802 | rat | whiteRhinoceros
697 / 703 > 10860 | sheep | squirrel
698 / 703 > 10670 | sheep | wallaroo
699 / 703 > 9668 | sheep | whiteRhinoceros
700 / 703 > 11024 | squirrel | wallaroo
701 / 703 > 10607 | squirrel | whiteRhinoceros
702 / 703 > 11269 | wallaroo | whiteRhinoceros
Building clusters.
Results:
cluster 0: chimpanzee, gibbon, pigmyChimpanzee
cluster 1: harborSeal, graySeal
cluster 2: fruitBat, pig, rabbit, dog, elephant, whiteRhinoceros
cluster 3: baboon, gorilla, orangutan
cluster 4: finWhale, human, cow, blueWhale, cat
cluster 5: hippopotamus, fatDormouse, donkey, platypus
cluster 6: randgen0, sheep, horse, squirrel, armadillo, randgen1, mouse, indianRhinoceros, aardvark, randgen2
cluster 7: rat, randgen3, guineaPig
cluster 8: wallaroo, opossum
